id,ten,ten_ja,danh_muc,trang_thai,khoi_luong_g,kich_thuoc_cm,do_tin_cay,nguon,van_de
1650,Dầu Gội  Trị Gàu LION,ライオン オクト 薬用シャンプー 320mL,Chăm sóc tóc,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1652,TẢO LỤC HOÀNG GIA,ユウキ製薬 クロレラロイヤルDX 1550粒,Thực phẩm chức năng,Đang bán,600,16x10x10,Thấp,Suy luận tương đương: Ước chai tảo lục dạng viên cỡ lớn; tên chưa nêu số viên.,
1656,Viên Uống Bổ Sung Canxi DHC 60 Ngày,DHC カルシウム／マグ 60日分 180粒,Thực phẩm chức năng,Đang bán,90,17x10x2,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1668,Viên Uống Trị Đau Cơ Kurema,オール薬品工業 クレマエースEXP 270錠,Thực phẩm chức năng,Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1671,Xịt Chống Nắng Skin Aqua,ロート製薬 スキンアクア トーンアップUVスプレー ラベンダー 70g,Chống nắng,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1717,Skin Aqua Tone Up Kem Chống Nắng 80g (Dành cho da nhạy cảm),ロート製薬 スキンアクア トーンアップUVエッセンス ラベンダー 80g,Chống nắng,Đang bán,115,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1731,Gel tẩy tế bào chết Rosette xanh Nhật Bản,ロゼット ゴマージュ 120g,Sữa rửa mặt & tẩy trang,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1734,Gel tẩy tế bào chết Rosette Hồng Nhật Bản,ロゼット ゴマージュ モイスト 120g,Sữa rửa mặt & tẩy trang,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1735,Gel Tẩy Tế Bào Chết Cure Natural Aqua Nhật Bản,キュア ナチュラルアクアジェル 250g,Sữa rửa mặt & tẩy trang,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1737,Tẩy tế bào chết Detclear Bright And Peel Nhật Bản 180ml,明色化粧品 DETクリア ブライト＆ピール ピーリングジェリー 180mL,Sữa rửa mặt & tẩy trang,Đang bán,235,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1742,Trà Ổi Orihiro Nhật Bản 60 Gói Giảm Cân Thanh Lọc Cơ Thể,オリヒロ 徳用グァバ茶 2g×60袋,Giảm cân,Đang bán,91,20x14x6,Trung bình,Suy luận quy cách: Ước hộp 60 túi trà Orihiro; giữ khối lượng quy cách cũ nếu có.,
1744,TẢO VÀNG EX 2000 Viên,金秀バイオ スピルリナEX 2000粒（1000粒×2本）,Thực phẩm chức năng,Đang bán,540,16x10x10,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1753,THUỐC XỊT XOANG NAZAL NHẬT BẢN 30ml,佐藤製薬 ナザール スプレー ポンプ 30mL,Tủ thuốc gia đình,Đang bán,64,17x10x2,Thấp,Suy luận quy cách: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1756,Viên Uống Bổ Mắt Noguchi Lutein EX Hộp 60,野口医学研究所 ブルーベリー＆ルテインEX 60粒,"Chăm sóc mắt, Thực phẩm chức năng",Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1758,Canxi Hữu Cơ Nhật Bản Dear-Natura,ディアナチュラ カルシウム・マグネシウム・亜鉛・ビタミンD 540粒,Thực phẩm chức năng,Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1760,GEL ĐẶC TRỊ HÔI NÁCH KOBAYASHI,小林製薬 ワキガード 50g,"Sức khỏe phụ nữ, Dành cho nam",Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1765,NƯỚC NGHỆ GIẢI RƯỢU-BỔ GAN-ĐẸP DA TURMERIC DRINK,ハウスウェルネスフーズ ウコンの力 ウコンエキスドリンク 100ml×6本,"Thực phẩm chức năng, Tủ thuốc gia đình",Đang bán,650,23x9x8,Thấp,Suy luận tương đương: Ước đồ uống đóng chai/hộp từ dung tích; nếu tên không có dung tích dùng chai phổ biến 500 ml.,
1767,Tinh Chất Trị Nám – Sáng Da – Transino Whitening Essence Ex II  50g,トランシーノ 薬用ホワイトニングエッセンスEXII 50g,Dưỡng da mặt,Đang bán,80,15x6x5,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1769,Kem Dưỡng Trắng Da Transino Whitening Repair Cream EX,トランシーノ 薬用ホワイトニングリペアクリームEX 35g,Dưỡng da mặt,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2001,Bình sữa Pigeon (loại to / loại nhỏ),ピジョン 母乳実感 哺乳びん プラスチック製 240mL,Mẹ và bé,Đang bán,100,,Cao,Amazon.co.jp (梱包サイズ / 商品の重量 trên trang sản phẩm đã liên kết),thiếu kích thước
2002,Bình xịt ngăn ngừa sâu răng Hamikea Tampei 25g,丹平製薬 ハミケア グレープ風味 25g,"Chăm sóc răng miệng, Mẹ và bé",Đang bán,41,13x7.6x3.4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2003,Bộ dầu gội và dầu xả mỡ ngựa Nhật Bản 600ml,熊野油脂 馬油シャンプー・コンディショナー 600mL,Chăm sóc tóc,Đang bán,2720,22.3x21.2x12.7,Cao,Amazon.co.jp (梱包サイズ / 商品の重量 trên trang sản phẩm đã liên kết),
2004,Bột canxi cá tuyết Nhật Bản,ファイン 骨キッズカルシウム チョコ風味 140g,"Thực phẩm chức năng, Mẹ và bé",Nháp,160,22x16x5,Trung bình,Suy luận tương đương: Ước túi bột theo khối lượng tịnh/bao bì mềm.,
2005,Ngũ cốc trái cây Calbee Frugra 700g,カルビー フルグラ 700g,Thực phẩm & đồ uống,Đang bán,710,26.2x19.8x8.6,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2006,Bột trà sữa Matcha Milk Nhật Bản,抹茶ミルク 粉末 200g,Thực phẩm & đồ uống,Đang bán,200,18x15x12,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2007,Bột uống Collagen Meiji Amino Collagen 196g,明治 アミノコラーゲン プレミアム 196g,Thực phẩm chức năng,Đang bán,196,17.2x9.7x5.6,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2008,Chai xịt giảm đau Air Salonpas Nhật Bản,久光製薬 エアーサロンパスジェットα 300mL,Tủ thuốc gia đình,Đang bán,280,19.4x5.5x5.4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2009,Cọ rửa mặt lông mềm Nhật Bản,洗顔ブラシ やわらか毛 日本製,Dụng cụ làm đẹp,Nháp,60,13x6x4,Trung bình,Suy luận tương đương: Ước cọ rửa mặt lông mềm trong hộp/vỉ bán lẻ.,
2011,"Dầu gội Head Spa (HS) cho tóc dầu, da đầu ngứa",h&s for men 薬用シャンプー ボリュームアップ 370mL,Chăm sóc tóc,Đang bán,370,21.2x7.4x4.6,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2012,"Set dầu gội, dầu xả và sữa tắm Dove Nhật Bản (set 2 / set 3)",ダヴ モイスチャーケア コンディショナー ポンプ 500g,"Chăm sóc tóc, Chăm sóc body",Đang bán,,22.5x6.7x6.6,Cao,Amazon.co.jp (梱包サイズ / 商品の重量 trên trang sản phẩm đã liên kết),thiếu khối lượng
2014,Dầu tẩy trang DHC Deep Cleansing Oil 70ml,DHC ディープクレンジングオイル 70mL,Sữa rửa mặt & tẩy trang,Đang bán,113,17.5x4.8x4.1,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2015,Dầu tẩy trang Muji Cleansing Oil,無印良品 マイルドオイルクレンジング 200mL,Sữa rửa mặt & tẩy trang,Đang bán,240,18.2x4.5x4.4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2017,Dung dịch vệ sinh phụ nữ pH Japan Premium 150ml,pH JAPAN プレミアム フェミニンウォッシュ 150mL,Sức khỏe phụ nữ,Đang bán,370,18.4x14.8x4.4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2018,Viên uống King Fucoidan & Agaricus 120 viên,キングフコイダン＆アガリクス 120粒,"Tủ thuốc gia đình, Thực phẩm chức năng",Nháp,100,11x7x6,Thấp,Suy luận quy cách: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
2019,Tinh chất dưỡng sáng da Genoptics Aura Essence,SK-II ジェノプティクス インフィニットオーラ エッセンス 50mL,Dưỡng da mặt,Đang bán,160,12x4.8x4.7,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2020,Trà giảm cân Night Diet Tea Orihiro Nhật Bản,オリヒロ ナイトダイエットティー 2g×20包,"Giảm cân, Thực phẩm chức năng",Đang bán,2,21.7x13.2x3.3,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,khối lượng quá nhỏ
2021,Kem dưỡng mắt Kose Sekkisei,コーセー 雪肌精 アイクリーム N 20g,Chăm sóc mắt,Đang bán,,12x9x6,Cao,Amazon.co.jp (梱包サイズ / 商品の重量 trên trang sản phẩm đã liên kết),thiếu khối lượng
2022,Sữa tắm dưỡng trắng Manis White Body Soap 450ml,マニス ホワイトボディシャンプー 450mL,Chăm sóc body,Nháp,550,21x9x7,Trung bình,Suy luận quy cách: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
2025,Kem chống nắng Biore UV Aqua Rich Watery Gel 70ml,花王 ビオレUV アクアリッチ ウォータリージェル 70g,Chống nắng,Đang bán,70,6x3x2,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2026,Kem chống nắng Kanebo Allie Chrono Beauty Gel UV EX 90g,アリィー クロノビューティ ジェルUV EX 90g,Chống nắng,Đang bán,90,2.4x2.4x2.4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2027,Kem chống nắng Shiseido Hada Senka,資生堂 専科 ミネラルウォーターでつくったUVジェル SPF50 40mL,Chống nắng,Nháp,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2028,Kem chống nắng SK-II Cellumination Day Surge UV SPF30 50g,SK-II セルミネーション デイサージ UV SPF30 50g,Chống nắng,Nháp,80,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2029,Kem chống nhăn vùng mắt và khoé miệng Hada Labo,肌ラボ 極潤プレミアム ヒアルロンアイクリーム 20g,Chăm sóc mắt,Đang bán,20,19x7.5x2.5,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2030,Kem dưỡng da Aloins Nhật Bản,アロインス ロカイレイ 全身薬用クリーム 185g,Dưỡng da mặt,Đang bán,260,9x9x7,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2031,Kem dưỡng da ban đêm Shiseido Elixir Enriched Cream,資生堂 エリクシール シュペリエル エンリッチドクリーム TB 45g,Dưỡng da mặt,Đang bán,170,0.7x0.7x0.7,Cao,Amazon.co.jp (梱包サイズ / 商品の重量 trên trang sản phẩm đã liên kết),
2032,Kem dưỡng chống lão hoá Collana La Avenir Cream EX,コラーナ ラ・アヴェニール クリームEX 50g,Dưỡng da mặt,Nháp,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2033,Kem dưỡng da SK-II LXP Ultimate Perfecting Cream,SK-II LXP アルティメイト パーフェクティング クリーム 50g,Dưỡng da mặt,Nháp,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2034,Kem dưỡng da tay Kose Coenrich Q10 Whitening Medicated,コーセー コエンリッチQ10 薬用ホワイトニング ハンドクリーム ディープモイスチュア 80g,Chăm sóc body,Đang bán,90,14x5.6x3.2,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2035,Kem dưỡng da tay Q10,コーセー コエンリッチQ10 薬用エクストラガード ハンドクリーム 80g,Chăm sóc body,Đang bán,90,14x5.5x3.1,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2036,Kem dưỡng Kose Grace One Repair Gel (50+) 100g,コーセー グレイスワン 濃潤リペアジェル EX 100g,"Sức khỏe phụ nữ, Dưỡng da mặt",Đang bán,100,7.7x7.4x7.1,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2037,Kem dưỡng đêm Shiseido Elixir White Reset Brightenist,資生堂 エリクシール ホワイト リセット ブライトニスト 40g,Dưỡng da mặt,Nháp,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2038,Kem dưỡng SK-II Cellumination Deep Surge EX 50g,SK-II セルミネーション ディープ サージ EX 50g,Dưỡng da mặt,Nháp,80,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2039,Kem dưỡng Hada Labo UV White Gel 7 trong 1,肌ラボ 極潤 UVホワイトゲル 90g,"Chống nắng, Dưỡng da mặt",Đang bán,50,10x5.5x5.5,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2040,Kem dưỡng Kanebo Freshel 5 in 1 dạng gel,フレッシェル アクアモイスチャージェル モイスト N 80g,Dưỡng da mặt,Đang bán,160,7x7x6.8,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2041,Kem dưỡng làm trắng One Day Brightener,セラ ワンデイブライトナー 120mL,Dưỡng da mặt,Nháp,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2042,Kem dưỡng mắt chống lão hoá SK-II R.N.A. Power Eye Cream,SK-II スキンパワー アイプラス ラインフィラー クリーム 15g,"Chăm sóc mắt, Dưỡng da mặt",Đang bán,200,7x7x5.2,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2043,Kem dưỡng mắt Kose Hadakiwami,コーセー 肌極 目もとふっくらアイクリーム 20g,Chăm sóc mắt,Nháp,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2044,Kem dưỡng trắng da Instawhite,明色化粧品 インスタホワイト トーンアップクリーム 50g,Dưỡng da mặt,Nháp,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2045,Kem dưỡng trắng da nhau thai Meishoku Placenta Whitening Cream 55g,明色 プラセホワイター 薬用美白エッセンスクリーム 55g,Dưỡng da mặt,Đang bán,110,18x9.3x6,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2047,Kem đánh răng trẻ em Lion,ライオン こどもハミガキ いちご 40g,"Chăm sóc răng miệng, Mẹ và bé",Đang bán,40,12.7x3.56x0.76,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2048,Kem dưỡng mắt Sana Nameraka Honpo 20g,なめらか本舗 目元ふっくらクリーム NC 20g,Chăm sóc mắt,Đang bán,1000,31x22x2.5,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2050,Kem tẩy trang Kose Sekkisei 140g,コーセー 雪肌精 クリアウェルネス クレンジングジェル 140g,Sữa rửa mặt & tẩy trang,Đang bán,140,17.2x5.84x4.83,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2051,Kem dưỡng trắng body Silky Veil 100g,シルキーヴェイル ボディ用トーンアップクリーム 100g,Chăm sóc body,Nháp,135,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2052,Kem trị rạn da Pigeon dùng trước sinh 110g,ピジョン ボディマッサージクリーム 110g,"Chăm sóc body, Mẹ và bé",Đang bán,110,16.26x5.33x4.06,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2053,Kem dưỡng mắt Meishoku Placenta Whitening Eye Cream 30g,明色化粧品 プラセホワイター 薬用美白アイクリーム 30g,Chăm sóc mắt,Đang bán,50,18x8.8x2.8,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2054,Kem trị viêm nang lông Rohto Zaraporo A 35g,ロート製薬 メンソレータム ザラプロA 35g,Chăm sóc body,Nháp,64,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2055,Viên uống IQ No.1 Nhật Bản,IQ No.1 サプリメント,Thực phẩm chức năng,Nháp,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
2056,Lotion se khít lỗ chân lông Labo Labo,ラボラボ スーパーKEANAローション 200mL,Dưỡng da mặt,Đang bán,300,20x6x6,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2057,Lotion trị mụn Meishoku Bigansui,明色 美顔水 薬用化粧水 90mL,"Trị mụn, Dưỡng da mặt",Đang bán,240,12.1x5.4x4.4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2058,Mặt nạ Kose Clear Turn Essence Mask 32 miếng,コーセー クリアターン 肌ふっくら アイゾーンマスク 32枚,Mặt nạ,Đang bán,70,17.8x15.5x4.3,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2059,Dầu gội Ichikami Kracie Smooth Care 480ml,クラシエ いち髪 なめらかスムースケア シャンプー 480mL,Dưỡng da mặt,Đang bán,480,20.1x8.2x7,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2061,Nước thần SK-II Facial Treatment Essence,SK-II フェイシャル トリートメント エッセンス 230mL,Dưỡng da mặt,Đang bán,230,16x7.5x7.5,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2062,Nước hoa hồng Kose Sekkisei Lotion,コーセー 薬用 雪肌精 化粧水 200mL,Dưỡng da mặt,Đang bán,181,10.16x5.08x5.08,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2063,Nước súc miệng Propolinse 600ml,プロポリンス マウスウォッシュ ゴールド 600mL,Chăm sóc răng miệng,Đang bán,650,25.1x8x6.9,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2064,Serum HA Cosme dưỡng ẩm - hàng nội địa Nhật,太陽のアロエ社 ヒアルロン酸 80mL,Dưỡng da mặt,Nháp,120,15x6x5,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2065,Serum Hyaluronic Acid dùng cho lăn kim và dưỡng da Nhật Bản,ヒアルロン酸美容液 ダーマローラー・スキンケア用 100mL,Dưỡng da mặt,Nháp,120,15x6x5,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2066,Serum nhau thai Fracora Placenta Extract 30ml,フラコラ プラセンタエキス原液 30mL,Dưỡng da mặt,Đang bán,86,11.5x4.5x3,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2067,Son dưỡng có màu DHC,DHC 濃密うるみカラーリップ アプリコット 1.5g,Trang điểm,Đang bán,20,12.4x6.8x1.7,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2069,Son dưỡng môi DHC Lip Cream 1.5g,DHC 薬用リップクリーム 1.5g,Trang điểm,Đang bán,20,12.6x3.4x2.2,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2072,Bộ đôi sản phẩm trị mụn trong và ngoài,ライオン ペアA錠＋ペアアクネクリームW ニキビケアセット,Trị mụn,Nháp,250,22x16x6,Thấp,Suy luận tương đương: Ước bộ hai sản phẩm trị mụn trong hộp/túi chung; chưa xác định đúng biến thể.,
2073,Sữa Meiji số 9 800g,明治 ステップ 800g,"Mẹ và bé, Thực phẩm & đồ uống",Đang bán,900,15.9x13.1x12.9,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2074,Sữa rửa mặt Nhật Bản 20g,日本製 スキンケア ミニ6点セット(洗顔料20g入り),Sữa rửa mặt & tẩy trang,Nháp,47,19x7x5,Trung bình,Suy luận quy cách: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
2075,Sữa rửa mặt Kose Softymo White 150g,コーセー ソフティモ ホワイト 薬用洗顔フォーム 150g,Sữa rửa mặt & tẩy trang,Đang bán,150,20x6x4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2076,Sữa rửa mặt Kose Softymo (mẫu 2018),コーセー ソフティモ 洗顔フォーム セラミド 150g,Sữa rửa mặt & tẩy trang,Đang bán,150,19x6.9x4.4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2078,Sữa rửa mặt tạo bọt Hada Labo,肌ラボ 極潤 ヒアルロン泡洗顔 本体160mL＋詰め替え140mL,Sữa rửa mặt & tẩy trang,Nháp,530,20.6x18.1x7.4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2079,"Sữa rửa mặt Transino dưỡng mịn da, bổ sung collagen",トランシーノ 薬用クリアウォッシュEX 100g,Sữa rửa mặt & tẩy trang,Đang bán,130,15.9x4.8x4.5,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2080,Sữa rửa mặt chiết xuất hạt ý dĩ Hatomugi,麗白 ハトムギ 薬用洗顔フォーム 130g,Sữa rửa mặt & tẩy trang,Đang bán,130,16.6x6.9x4.4,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2083,Sữa tắm Hatomugi chiết xuất hạt ý dĩ 800ml,熊野油脂 麗白 ハトムギボディソープ 800mL,Chăm sóc body,Đang bán,500,18.9x7.2x7.2,Cao,"Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết. — nguồn Amazon nghi sai sản phẩm, cần kiểm tra",
2084,Sữa tắm Shiseido Senka Perfect Whip Bubble,専科 パーフェクトバブル フォーボディー 500mL,Chăm sóc body,Đang bán,600,20.29x10.8x5.89,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2085,Sữa tắm trắng da White Conc Vitamin C Nhật Bản,ホワイトコンク ボディシャンプーCII 150mL,Chăm sóc body,Đang bán,181,10.41x5.33x3.56,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2087,Sữa tắm Nhật Bản 380g,ダヴ ボディソープ・シャンプー・コンディショナー 3点セット,Chăm sóc body,Nháp,445,21x9x7,Trung bình,Suy luận quy cách: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
2088,Tẩy tế bào chết Apatheia 300g,アパティア 薬用美白ピーリングゲル プラチナム 300g,Sữa rửa mặt & tẩy trang,Nháp,355,10x10x8,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2089,Serum dạng thanh lăn dưỡng da Nhật Bản,カントリー&ストリーム ナチュラルアイロールオン 15mL,Dưỡng da mặt,Nháp,120,15x6x5,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
2090,Nước uống The Collagen Shiseido,資生堂 ザ・コラーゲン ドリンク 50mL×10本,Thực phẩm chức năng,Đang bán,1270,17.9x10.6x7.6,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2091,Viên uống The Collagen Shiseido Nhật Bản,資生堂 ザ・コラーゲン リュクスリッチ タブレット 126粒,Thực phẩm chức năng,Đang bán,50,12.4x10.7x2.3,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
2093,Viên uống bổ tim Healthy Care Coenzyme Q10 150mg 100 viên,ヘルシーケア コエンザイムQ10 150mg 100カプセル,"Tủ thuốc gia đình, Thực phẩm chức năng",Nháp,90,11x7x6,Thấp,Suy luận quy cách: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
2094,Viên uống vitamin cho bà bầu và phụ nữ sau sinh,ネイチャーメイド プレナタル マルチ＋DHA 妊娠・授乳期用,"Sức khỏe phụ nữ, Thực phẩm chức năng",Nháp,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
2095,Viên uống Nattokinase 2000FU Noguchi 60 viên,野口医学研究所 納豆キナーゼ 2000FU 60粒,"Tủ thuốc gia đình, Thực phẩm chức năng",Đang bán,14,9.3x5x5,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
